# FORECAST FROM Table 4 https://arxiv.org/pdf/1606.00180 (Amendola et al. 2016, The Euclid Theory Working Group)
# z   f   error_ref  error_opt  error_pess
0.7 0.76 0.011 0.010 0.012 
0.8 0.80 0.010 0.009 0.011 
0.9 0.82 0.009 0.009 0.011 
1.0 0.84 0.009 0.008 0.011 
1.1 0.86 0.009 0.008 0.011 
1.2 0.87 0.009 0.009 0.011 
1.3 0.88 0.010 0.009 0.012 
1.4 0.89 0.010 0.009 0.013 
1.5 0.91 0.011 0.010 0.014 
1.6 0.91 0.012 0.011 0.016 
1.7 0.92 0.014 0.012 0.018 
1.8 0.93 0.014 0.013 0.019 
1.9 0.93 0.017 0.015 0.025 
2.0 0.94 0.023 0.019 0.037

