# year ref label  zeff  dvrs  sigdv  dmrs  sigdm  hrs  sigh  omfid  hfid  omb2fid  rsEH
2009 Percival DR7Per 0.275 7.19 0.20 -1 -1 -1 -1 0.256 0.72 0.02273 1
2011 Beutler 6dFGS 0.106 2.976 0.133 -1 -1 -1 -1 0.27 0.7 0.02227 1
2011 Blake Wznorec 0.6 14.25 0.65 -1 -1 -1 -1 0.27 .71 .0226 1
2012 Padmanabhan DR7rec 0.35 8.88 0.17 -1 -1 -1 -1 0.274 0.702 0.02252 1
2012 Anderson BOSSCMDR9 0.57 13.67 0.22 -1 -1 -1 -1 0.274 0.7 0.0224 0
2014 Kazin Wzrec1 0.44 11.55 0.56 -1 -1 -1 -1 0.27 .71 .0226 0
2014 Kazin Wzrec2 0.6 14.95 0.68 -1 -1 -1 -1 0.27 .71 .0226 0
2014 Kazin Wzrec3 0.73 16.93 0.58 -1 -1 -1 -1 0.27 .71 .0226 0
2014 Anderson BOSSCMDR11 0.57 13.77 0.13 14.95 0.22 20.75 0.73 0.274 0.7 0.0224 0
2014 Anderson BOSSLZDR11 0.32 8.47 0.17 -1 -1 -1 -1 0.274 0.7 0.0224 0
2014 Font LyaXDR11 2.36 33.20 1.11 36.3 1.3 9.0 0.3 0.27 0.7 0.0227 0
2015 delubac LyADR11 2.36 -1 -1 37.68 2.17 9.18 0.28 0.27 0.7 0.0227 0
2015 Ross MGS 0.15 4.47 0.17 -1 -1 -1 -1 0.31 0.67 0.02155 0
2015 Howlett MGS 0.15 4.51 0.14 -1 -1 -1 -1 0.31 0.67 0.02155 0
2016 Alam BOSSDR12_1 0.38 9.99 0.11 10.23 0.15 24.98 0.68 0.31 0.676 0.022 0
2016 Alam BOSSDR12_2 0.51 12.70 0.13 13.36 0.18 22.32 0.54 0.31 0.676 0.022 0
2016 Alam BOSSDR12_3 0.61 14.48 0.15 15.61 0.22 20.49 0.46 0.31 0.676 0.022 0
2017 Bautista LyADR12 2.33 32.2 0.81 37.77 2.13 9.07 0.31 0.3147 0.6731 0.02222 0
2017 DuMas LyADR12C 2.4 -1 -1 36.6 1.2 8.94 0.22 0.3147 0.6731 0.02222 0
2017 Ata QSODR14 1.52 26.0 1.0 -1 -1 -1 -1 0.31 0.676 0.022 0
2017 Bautista LRGDR14 0.72 15.92 0.42 -1 -1 -1 -1 0.31 0.676 0.022 0
2019 Abbot DESY1 0.81 17.91 0.72 19.46 0.78 -1 -1 0.31 0.676 0.022 0
#2019 SaiteAgathe LyADR14 2.34 32.32 1.06 37.41 1.86 8.86 0.29 0.3147 0.6731 0.02222 0
#2019 Blomqvist LyADR14X 2.35 33.75 1.10 36.3 1.8 9.20 0.30 0.3147 0.6731 0.02222 0
2019 SaiteAgatheBlom LyADR14C 2.34 33.01 .76 36.84 1.29 9.02 0.21 0.3147 0.6731 0.02222 0
2020 eBOSS QSODR16 1.48 -1    -1   30.69 0.80 13.26 0.55 0.31 0.676 0.022 0
2020 eBOSS ELGDR16 0.85 18.33 0.60 19.50 1.00 19.60 2.10 0.31 0.676 0.022 0
2020 eBOSS LRGDR16 0.70 16.26 0.20 17.65 0.30 19.77 0.47 0.31 0.676 0.022 0
2020 eBOSS LyADR16C 2.33 -1   -1   37.50 1.10  8.99 0.19 0.31 0.676 0.022 0

