# year ref   label  survey  zeff  fs8_value  fs8_error  omfid  hfid  ombh2fid   s8    n_s   with_AP
2004 Percival 2dF 2dFGRS 0.17 0.46 0.06 0.27 0.72 -1 -1 1 0
2011 Blake WiggleZ WiggleZ 0.22 0.42 0.07 0.27 0.72 0.023235 0.8 0.96 0
2011 Blake WiggleZ WiggleZ 0.41 0.45 0.04 0.27 0.72 0.023235 0.8 0.96 0
2011 Blake WiggleZ WiggleZ 0.60 0.43 0.03 0.27 0.72 0.023235 0.8 0.96 0
2011 Blake WiggleZ WiggleZ 0.78 0.38 0.04 0.27 0.72 0.023235 0.8 0.96 0
2012 Beutler 6dFGS 6dFGS 0.067 0.423 0.055 0.27 1. -1 -1 -1 0
2015 Howlett MGS SDSS_MGS 0.15 0.53 0.19 0.31 0.67 0.021547 0.83 0.96 1
2015 Howlett MGS SDSS_MGS 0.15 0.49 0.15 0.31 0.67 0.021547 0.83 0.96 0
2016 Okumura FastSound FastSound 1.4 0.494 0.123 0.27 -1 -1 -1 -1 0
2017 Pezzotta VIPERS VIPERS 0.6 0.55 0.12 0.30 1. 0.045 -1 0.96 0
2017 Pezzotta VIPERS VIPERS 0.86 0.40 0.11 0.30 1. 0.045 -1 0.96 0
#- BOSS DR12
2017 Alam BOSS_DR12 BOSS_DR12 0.38 0.497 0.045 0.31 0.676 0.022 0.8 0.97 1
2017 Alam BOSS_DR12 BOSS_DR12 0.51 0.459 0.038 0.31 0.676 0.022 0.8 0.97 1
2017 Alam BOSS_DR12 BOSS_DR12 0.61 0.436 0.034 0.31 0.676 0.022 0.8 0.97 1
#- eBOSS DR14
2018 Zarrouk DR14_QSO eBOSS_DR14_QSO 1.52 0.426 0.079 0.31 0.676 0.022 0.8 0.97 1
#2018 Gil-Marin DR14_QSO  1.52  0.420      0.076      0.31   0.676 0.022      0.8   0.97  1   
2020 Icaza-Lizaola DR14_LRG eBOSS_DR14_LRG 0.72 0.454 0.134 0.31 0.676 0.022 0.8 0.97 1
#- eBOSS DR16
2020 eBOSS DR16_LRG eBOSS_DR16 0.698 0.473 0.044 0.31 0.676 0.022 0.8 0.97 1
2020 eBOSS DR16_ELG eBOSS_DR16 0.85 0.315 0.095 0.31 0.676 0.022 0.8 0.97 1
2020 eBOSS DR16_QSO eBOSS_DR16 1.48 0.462 0.045 0.31 0.676 0.022 0.8 0.97 1
#- SDSS final 
2015 SDSS final SDSS_final 0.15 0.53 0.19 0.31 0.67 0.021547 0.83 0.96 1
2017 SDSS final SDSS_final 0.38 0.497 0.045 0.31 0.676 0.022 0.8 0.97 1
2017 SDSS final SDSS_final 0.51 0.459 0.038 0.31 0.676 0.022 0.8 0.97 1
2020 SDSS final SDSS_final 0.698 0.473 0.044 0.31 0.676 0.022 0.8 0.97 1
2020 SDSS final SDSS_final 0.85 0.315 0.095 0.31 0.676 0.022 0.8 0.97 1
2020 SDSS final SDSS_final 1.48 0.462 0.045 0.31 0.676 0.022 0.8 0.97 1
#- DESI Y1 RSD
2024 DESI-Y1 BGS DESI_DR1 0.295 0.378 0.094 0.26447 0.6736 0.02237 0 0.9649 1
2024 DESI-Y1 LRG1 DESI_DR1 0.510 0.516 0.061 0.26447 0.6736 0.02237 0 0.9649 1
2024 DESI-Y1 LRG2 DESI_DR1 0.706 0.484 0.055 0.26447 0.6736 0.02237 0 0.9649 1
2024 DESI-Y1 LRG3 DESI_DR1 0.930 0.422 0.048 0.26447 0.6736 0.02237 0 0.9649 1
2024 DESI-Y1 ELG2 DESI_DR1 1.317 0.375 0.043 0.26447 0.6736 0.02237 0 0.9649 1
2024 DESI-Y1 QSO DESI_DR1 1.491 0.435 0.045 0.26447 0.6736 0.02237 0 0.9649 1
